Date de début,code site,nom site,NO2,O3,PM10,PM2.5,SO2
2021/01/01 00:00:00,FR04055,PARIS 1er Les Halles,,11.5,36.0,33.5,
2021/01/01 01:00:00,FR04055,PARIS 1er Les Halles,,10.9,33.0,32.8,
2021/01/01 02:00:00,FR04055,PARIS 1er Les Halles,,11.2,30.1,31.2,
2021/01/01 03:00:00,FR04055,PARIS 1er Les Halles,,9.8,28.7,30.2,
2021/01/01 04:00:00,FR04055,PARIS 1er Les Halles,,17.9,29.8,26.3,
2021/01/01 05:00:00,FR04055,PARIS 1er Les Halles,,20.0,20.2,21.2,
2021/01/01 06:00:00,FR04055,PARIS 1er Les Halles,,19.4,20.8,21.7,
2021/01/01 07:00:00,FR04055,PARIS 1er Les Halles,,19.2,18.0,18.0,
2021/01/01 08:00:00,FR04055,PARIS 1er Les Halles,,17.0,17.2,17.3,
2021/01/01 09:00:00,FR04055,PARIS 1er Les Halles,,23.2,15.8,16.0,
2021/01/01 10:00:00,FR04055,PARIS 1er Les Halles,,33.4,16.3,14.2,
2021/01/01 11:00:00,FR04055,PARIS 1er Les Halles,,37.0,12.0,11.3,
2021/01/01 12:00:00,FR04055,PARIS 1er Les Halles,,37.5,8.6,,
2021/01/01 13:00:00,FR04055,PARIS 1er Les Halles,,26.3,10.8,,
2021/01/01 14:00:00,FR04055,PARIS 1er Les Halles,,35.6,14.9,13.5,
2021/01/01 15:00:00,FR04055,PARIS 1er Les Halles,,40.4,10.0,9.7,
2021/01/01 16:00:00,FR04055,PARIS 1er Les Halles,,37.7,12.6,12.0,
2021/01/01 17:00:00,FR04055,PARIS 1er Les Halles,,33.3,13.6,13.8,
2021/01/01 18:00:00,FR04055,PARIS 1er Les Halles,,35.9,12.8,14.7,
2021/01/01 19:00:00,FR04055,PARIS 1er Les Halles,,23.6,16.1,14.7,
2021/01/01 20:00:00,FR04055,PARIS 1er Les Halles,,13.2,18.9,18.9,
2021/01/01 21:00:00,FR04055,PARIS 1er Les Halles,,14.4,18.5,,
2021/01/01 22:00:00,FR04055,PARIS 1er Les Halles,,10.4,21.0,25.0,
2021/01/01 23:00:00,FR04055,PARIS 1er Les Halles,,6.8,28.9,27.8,
2021/01/02 00:00:00,FR04055,PARIS 1er Les Halles,,6.2,29.2,30.7,
2021/01/02 01:00:00,FR04055,PARIS 1er Les Halles,,6.0,31.4,29.4,
2021/01/02 02:00:00,FR04055,PARIS 1er Les Halles,,4.7,32.0,31.3,
2021/01/02 03:00:00,FR04055,PARIS 1er Les Halles,,5.2,34.6,34.3,
2021/01/02 04:00:00,FR04055,PARIS 1er Les Halles,,3.8,33.2,33.6,
2021/01/02 05:00:00,FR04055,PARIS 1er Les Halles,,3.5,35.0,34.8,
2021/01/02 06:00:00,FR04055,PARIS 1er Les Halles,,,,,
2021/01/02 07:00:00,FR04055,PARIS 1er Les Halles,,3.3,,,
2021/01/02 08:00:00,FR04055,PARIS 1er Les Halles,,4.3,38.2,38.1,
2021/01/02 09:00:00,FR04055,PARIS 1er Les Halles,,6.8,36.8,36.1,
2021/01/02 10:00:00,FR04055,PARIS 1er Les Halles,,18.2,40.2,38.1,
2021/01/02 11:00:00,FR04055,PARIS 1er Les Halles,,20.2,37.8,37.2,
2021/01/02 12:00:00,FR04055,PARIS 1er Les Halles,,25.7,36.1,35.8,
2021/01/02 13:00:00,FR04055,PARIS 1er Les Halles,,23.4,36.0,,
2021/01/02 14:00:00,FR04055,PARIS 1er Les Halles,,16.7,35.8,,
2021/01/02 15:00:00,FR04055,PARIS 1er Les Halles,,7.6,41.5,40.9,
2021/01/02 16:00:00,FR04055,PARIS 1er Les Halles,,5.0,48.1,45.7,
2021/01/02 17:00:00,FR04055,PARIS 1er Les Halles,,5.9,52.3,51.7,
2021/01/02 18:00:00,FR04055,PARIS 1er Les Halles,,6.2,55.1,53.0,
2021/01/02 19:00:00,FR04055,PARIS 1er Les Halles,,5.9,56.1,53.1,
